食物名称,分类,可食部%,能量kcal,蛋白质g,脂肪g,碳水化合物g,膳食纤维g,胆固醇mg,钠mg,钙mg,铁mg,维生素Cmg
豆腐（南）,豆制品,100,57,6.2,2.5,1.5,0.4,0,3.1,116,1.5,0
豆腐（内酯）,豆制品,100,50,5.0,1.9,2.0,0.4,0,4.0,17,0.8,0
豆腐干,豆制品,100,140,16.2,3.6,10.7,0.8,0,76.5,308,4.9,0
豆腐皮（油皮）,豆制品,100,409,44.6,17.4,18.6,0.2,0,9.0,116,13.9,0
腐竹,豆制品,100,461,44.6,21.7,21.3,1.0,0,26.5,77,16.5,0
豆浆,豆制品,100,16,1.8,0.7,1.1,0.1,0,1.0,10,0.5,0
黄豆（大豆）,豆类,100,390,35.0,16.0,34.2,15.5,0,2.2,191,8.2,0
黑豆,豆类,100,401,36.0,15.9,33.6,10.2,0,3.0,224,7.0,0
绿豆,豆类,100,329,21.6,0.8,62.0,6.4,0,3.2,81,6.5,0
红豆（赤小豆）,豆类,100,324,20.2,0.6,63.4,7.7,0,2.2,74,7.4,0
芸豆（白）,豆类,100,326,23.4,1.4,54.7,9.8,0,5.3,176,5.4,0
芸豆（红）,豆类,100,314,22.7,1.5,53.4,8.3,0,5.3,176,5.4,0
蚕豆（干）,豆类,100,338,21.6,2.0,59.8,1.7,0,86.0,16,3.5,0
豌豆（干）,豆类,100,334,20.3,1.1,60.8,6.0,0,9.7,97,4.9,0
扁豆（干）,豆类,100,326,25.3,0.4,55.5,6.5,0,3.8,137,19.2,0
豇豆（干）,豆类,100,336,19.3,0.9,58.5,7.1,0,6.8,40,7.1,0
大白菜,蔬菜,89,17,1.5,0.1,3.2,0.8,0,57.5,45,0.7,31
小白菜,蔬菜,81,15,1.5,0.3,2.7,1.1,0,73.5,90,1.9,28
圆白菜（卷心菜）,蔬菜,86,22,1.5,0.2,4.6,1.0,0,27.2,49,0.6,40
菠菜,蔬菜,89,24,2.6,0.3,4.5,1.7,0,85.2,66,2.9,32
油菜,蔬菜,87,23,1.8,0.5,3.8,1.1,0,55.8,108,1.2,36
芹菜（茎）,蔬菜,66,14,1.2,0.2,3.3,1.2,0,159.0,80,1.2,8
芹菜（叶）,蔬菜,100,31,2.6,0.6,3.7,2.2,0,270.0,366,2.8,22
生菜,蔬菜,94,13,1.3,0.3,2.0,0.7,0,32.8,34,0.9,13
韭菜,蔬菜,90,26,2.4,0.4,4.6,1.4,0,8.1,42,1.6,24
茼蒿,蔬菜,82,21,1.9,0.3,3.9,1.2,0,161.3,73,2.5,18
空心菜（蕹菜）,蔬菜,76,20,2.2,0.3,3.6,1.4,0,94.3,99,2.3,25
苋菜（绿）,蔬菜,74,25,2.8,0.3,4.1,1.8,0,42.3,180,2.9,47
苋菜（红）,蔬菜,78,31,2.8,0.4,5.9,1.8,0,42.3,178,2.9,30
香菜（芫荽）,蔬菜,81,31,1.8,0.4,6.2,1.2,0,48.5,101,2.9,48
芥菜,蔬菜,89,24,2.0,0.4,4.7,1.6,0,29.0,230,3.2,31
西兰花（绿菜花）,蔬菜,83,36,4.1,0.6,4.3,1.6,0,18.8,67,1.0,51
菜花（花椰菜）,蔬菜,82,26,2.1,0.2,4.6,1.2,0,18.8,23,1.1,61
黄瓜,蔬菜,92,15,0.8,0.2,2.9,0.5,0,4.9,24,0.5,9
冬瓜,蔬菜,80,11,0.4,0.2,2.6,0.7,0,1.8,19,0.2,18
丝瓜,蔬菜,83,20,1.0,0.2,4.2,0.6,0,2.6,14,0.4,5
苦瓜,蔬菜,81,19,1.0,0.1,4.9,1.4,0,2.5,14,0.7,56
南瓜,蔬菜,85,22,0.7,0.1,5.3,0.8,0,0.8,16,0.4,8
西葫芦,蔬菜,73,18,0.8,0.2,3.8,0.6,0,5.0,15,0.4,6
茄子,蔬菜,93,21,1.1,0.2,4.9,1.3,0,5.4,24,0.5,5
番茄（西红柿）,蔬菜,97,19,0.9,0.2,4.0,0.5,0,5.0,10,0.4,19
辣椒（青）,蔬菜,84,23,1.4,0.3,5.8,2.1,0,2.2,15,0.7,62
辣椒（红尖）,蔬菜,80,32,1.3,0.4,7.0,3.2,0,2.6,37,1.4,144
甜椒（灯笼椒）,蔬菜,82,22,1.0,0.2,5.4,1.4,0,3.3,14,0.8,72
白萝卜,蔬菜,95,21,0.9,0.1,5.0,1.0,0,61.8,36,0.5,21
胡萝卜,蔬菜,97,37,1.0,0.2,8.8,1.1,0,71.4,32,1.0,13
心里美萝卜,蔬菜,86,21,0.8,0.2,4.9,0.8,0,85.4,68,0.5,23
青萝卜,蔬菜,95,23,1.3,0.2,5.0,0.8,0,6.8,40,0.8,14
洋葱,蔬菜,90,39,1.1,0.2,9.0,0.9,0,4.4,24,0.6,8
大葱,蔬菜,82,30,1.7,0.3,6.5,1.3,0,4.8,29,0.7,17
小葱,蔬菜,73,24,1.6,0.4,4.9,1.4,0,10.4,72,1.3,21
大蒜（蒜头）,蔬菜,85,126,4.5,0.2,27.6,1.1,0,19.6,39,1.2,7
蒜薹,蔬菜,90,61,2.0,0.1,15.4,2.5,0,3.8,19,4.2,1
生姜,蔬菜,95,41,1.3,0.6,10.3,2.7,0,14.9,27,1.4,4
莲藕,蔬菜,88,47,1.9,0.2,11.5,1.2,0,44.2,39,1.4,44
茭白,蔬菜,74,23,1.2,0.2,5.9,1.9,0,5.8,4,0.4,5
芦笋,蔬菜,90,19,1.4,0.1,4.9,1.9,0,3.1,10,1.4,45
竹笋,蔬菜,63,19,2.6,0.2,3.6,1.8,0,5.2,9,0.5,5
莴笋,蔬菜,62,14,1.0,0.1,2.8,0.6,0,36.5,23,0.9,4
木耳（水发）,蔬菜,100,21,1.5,0.2,6.0,2.6,0,48.5,34,5.5,0
银耳（水发）,蔬菜,100,200,10.0,1.4,67.3,30.4,0,82.1,36,4.1,0
香菇（鲜）,蔬菜,100,19,2.2,0.3,5.2,3.3,0,1.4,2,0.3,1
平菇（鲜）,蔬菜,93,20,1.9,0.3,4.6,2.3,0,3.8,5,1.0,4
金针菇,蔬菜,100,26,2.4,0.4,6.0,2.7,0,4.3,12,1.4,2
海带（水发）,蔬菜,100,13,1.2,0.1,2.1,0.5,0,8.6,46,0.9,0
紫菜（干）,蔬菜,100,250,26.7,1.1,44.1,21.6,0,710.5,264,54.9,2
苹果,水果,80,53,0.2,0.2,13.5,1.2,0,1.6,4,0.6,4
梨,水果,82,51,0.4,0.2,12.9,2.2,0,1.7,9,0.5,6
桃,水果,89,42,0.6,0.1,10.1,1.0,0,1.8,6,0.8,7
李子,水果,91,38,0.7,0.2,8.7,0.9,0,3.8,8,0.6,5
杏,水果,91,38,0.9,0.1,9.1,1.3,0,2.3,14,0.6,4
枣（鲜）,水果,87,125,1.1,0.3,30.5,1.9,0,1.2,22,1.2,243
枣（干）,水果,88,287,2.1,0.4,73.6,9.5,0,6.2,64,2.3,7
山楂,水果,76,95,0.5,0.6,25.1,3.1,0,5.4,52,0.9,53
樱桃,水果,80,46,1.1,0.2,10.2,0.3,0,8.0,11,0.4,10
葡萄,水果,86,45,0.5,0.2,10.3,0.4,0,1.3,5,0.4,25
葡萄干,水果,100,344,2.5,0.4,83.4,1.6,0,19.1,52,9.1,5
柿子,水果,87,74,0.4,0.1,18.5,1.4,0,0.8,9,0.2,30
石榴,水果,57,73,1.3,0.2,18.5,4.8,0,0.9,9,0.3,9
无花果,水果,100,65,1.5,0.1,16.0,3.0,0,5.5,67,0.1,2
猕猴桃,水果,83,61,0.8,0.6,14.5,2.6,0,10.0,27,1.2,62
草莓,水果,97,32,1.0,0.2,7.1,1.1,0,4.2,18,1.8,47
橙子,水果,74,48,0.8,0.2,11.1,0.6,0,1.2,20,0.4,33
柑橘,水果,77,51,0.7,0.2,11.9,0.4,0,1.4,35,0.2,28
柚子,水果,62,42,0.8,0.2,9.5,0.4,0,3.0,4,0.3,23
柠檬,水果,66,37,1.1,1.2,6.2,1.3,0,1.1,101,0.8,22
菠萝,水果,68,44,0.5,0.1,10.8,1.3,0,0.8,12,0.6,18
香蕉,水果,59,93,1.4,0.2,22.0,1.2,0,0.8,7,0.4,8
芒果,水果,60,32,0.6,0.2,8.3,1.3,0,2.8,1,0.2,23
木瓜,水果,86,29,0.4,0.1,7.0,0.8,0,28.0,17,0.2,43
西瓜,水果,56,26,0.6,0.1,6.8,0.3,0,3.2,8,0.3,6
哈密瓜,水果,71,34,0.5,0.1,8.8,0.2,0,26.7,4,0.3,12
甜瓜,水果,78,27,0.4,0.1,6.2,0.4,0,8.8,14,0.7,15
荔枝,水果,73,71,0.9,0.2,16.6,0.5,0,1.7,2,0.4,41
龙眼（桂圆）,水果,50,71,1.2,0.1,16.6,0.4,0,3.3,6,0.2,43
榴莲,水果,59,150,2.6,3.3,28.3,1.7,0,2.9,4,0.3,2.8
椰子,水果,33,241,4.0,12.1,31.3,4.7,0,55.6,2,1.8,6
花生（生）,坚果,100,574,24.8,44.3,16.2,5.5,0,3.6,39,2.1,2
花生（炒）,坚果,100,589,21.7,48.0,17.8,4.5,0,4.0,47,1.5,0
葵花籽（生）,坚果,100,606,23.9,49.9,13.0,6.1,0,5.0,72,5.7,0
葵花籽（炒）,坚果,100,625,22.6,52.8,12.5,4.8,0,1322.0,72,5.7,0
核桃（鲜）,坚果,43,328,12.8,29.9,10.8,4.5,0,6.4,0,2.7,10
核桃（干）,坚果,43,646,14.9,58.8,19.1,9.5,0,6.4,56,2.7,1
杏仁（苦）,坚果,100,578,22.5,45.4,23.9,8.0,0,8.3,71,3.9,26
杏仁（甜）,坚果,100,562,21.0,43.0,25.0,8.0,0,8.0,70,3.7,0
腰果,坚果,100,552,17.3,36.7,41.6,3.6,0,251.3,26,4.8,0
开心果,坚果,100,614,20.6,53.0,21.9,8.2,0,756.4,105,6.5,0
松子（炒）,坚果,100,644,12.9,62.6,12.5,8.5,0,614.0,14,5.2,0
板栗（鲜）,坚果,80,185,4.2,0.7,42.2,1.7,0,8.5,17,1.1,24
莲子（干）,坚果,100,350,17.2,2.0,67.2,3.0,0,5.1,97,3.6,0
芝麻（白）,坚果,100,559,18.4,39.6,31.5,9.8,0,8.3,620,14.1,0
芝麻（黑）,坚果,100,559,19.1,46.1,24.0,14.0,0,8.3,780,22.7,0
猪肉（肥瘦）,肉类,100,395,13.2,37.0,2.4,0,80,59.4,6,1.6,0
猪肉（瘦）,肉类,100,143,20.3,6.2,1.5,0,81,57.5,6,3.0,0
猪肉（肥）,肉类,100,807,2.4,88.6,0,0,109,19.5,3,1.0,0
猪里脊,肉类,100,155,20.2,7.9,0.7,0,55,43.2,6,1.5,0
猪排骨,肉类,69,264,18.3,20.4,1.7,0,146,44.5,8,1.4,0
猪蹄,肉类,60,260,22.6,18.8,0,0,86,101.0,33,1.1,0
猪肝,肉类,99,129,19.3,3.5,5.0,0,288,68.6,6,22.6,20
猪心,肉类,97,119,16.6,5.3,1.1,0,151,71.2,12,4.3,4
猪腰（肾）,肉类,93,96,15.4,3.2,1.4,0,354,65.5,12,6.1,13
猪肚,肉类,96,110,15.2,5.1,0.7,0,165,72.2,11,2.4,0
牛肉（肥瘦）,肉类,99,125,19.9,4.2,2.0,0,84,84.2,23,3.3,0
牛肉（瘦）,肉类,100,106,20.2,2.3,1.2,0,58,53.6,9,2.8,0
牛里脊,肉类,100,107,22.0,0.9,2.4,0,63,75.1,3,4.4,0
牛腱子,肉类,94,105,20.5,1.4,1.0,0,60,68.0,5,3.5,0
牛腩,肉类,80,293,17.1,24.6,0,0,80,60.0,8,2.0,0
牛肝,肉类,100,139,19.8,3.9,6.2,0,297,45.0,4,6.6,9
羊肉（肥瘦）,肉类,90,203,19.0,14.1,0,0,92,80.6,6,2.3,0
羊肉（瘦）,肉类,90,118,20.5,3.9,0.2,0,60,69.4,9,3.9,0
羊里脊,肉类,100,103,20.5,1.6,1.6,0,107,74.4,8,2.8,0
羊排,肉类,81,257,16.2,20.3,0,0,110,68.0,8,2.0,0
鸡肉（整鸡）,肉类,66,167,19.3,9.4,1.3,0,106,63.3,9,1.4,0
鸡胸肉,肉类,100,133,19.4,5.0,2.5,0,82,34.4,3,0.6,0
鸡腿,肉类,69,181,16.0,13.0,0,0,162,64.4,6,1.5,0
鸡翅,肉类,69,194,17.4,11.8,4.6,0,113,50.8,8,1.3,0
鸡爪,肉类,60,254,23.9,16.4,2.7,0,103,169.0,36,1.4,0
鸡肝,肉类,100,121,16.6,4.8,2.3,0,356,92.0,7,12.0,0
鸭肉,肉类,68,240,15.5,19.7,0.2,0,94,69.0,6,2.2,0
鸭胸肉,肉类,100,90,15.0,1.5,4.0,0,121,60.2,6,4.1,0
鸭腿,肉类,70,200,16.0,15.0,0,0,100,60.0,6,2.0,0
鹅肉,肉类,63,251,17.9,19.9,0,0,74,58.8,4,3.8,0
兔肉,肉类,100,102,19.7,2.2,0.2,0,59,45.1,12,2.0,0
鸡蛋（红皮）,蛋类,88,156,12.8,11.1,1.3,0,585,125.7,44,2.3,0
鸡蛋（白皮）,蛋类,87,138,12.7,9.0,1.5,0,585,94.7,48,2.0,0
鸡蛋（煮）,蛋类,100,151,12.1,10.5,1.3,0,585,125.0,45,2.0,0
鸡蛋（煎）,蛋类,100,209,13.0,15.0,1.5,0,585,150.0,50,2.0,0
鸭蛋,蛋类,87,180,12.6,13.0,3.1,0,565,106.0,62,2.9,0
咸鸭蛋,蛋类,88,190,12.7,12.7,6.3,0,647,2706.0,118,3.6,0
松花蛋（皮蛋）,蛋类,90,171,14.2,10.7,4.5,0,608,542.7,63,3.3,0
鹌鹑蛋,蛋类,86,160,12.8,11.1,2.1,0,515,106.6,47,3.2,0
鹅蛋,蛋类,87,196,11.1,15.6,2.8,0,704,90.0,34,4.1,0
牛奶（纯）,乳类,100,54,3.0,3.2,3.4,0,15,37.2,104,0.3,1
牛奶（脱脂）,乳类,100,33,3.2,0.3,4.8,0,8,37.2,104,0.3,1
酸奶,乳类,100,72,2.5,2.7,9.3,0,15,39.8,118,0.4,1
酸奶（脱脂）,乳类,100,57,3.3,0.4,10.0,0,8,40.0,120,0.4,1
奶粉（全脂）,乳类,100,478,20.1,21.2,51.7,0,71,260.0,676,1.2,0
奶粉（脱脂）,乳类,100,368,36.0,1.0,52.0,0,20,260.0,1200,1.5,0
奶酪（干酪）,乳类,100,328,25.7,23.5,3.5,0,110,584.6,799,2.4,0
奶油,乳类,100,879,0.7,97.0,0.9,0,209,10.0,14,0.1,0
黄油,乳类,100,888,1.4,98.0,0,0,296,4.0,1,0.1,0
草鱼,水产,58,113,16.6,5.2,0,0,86,46.0,38,0.8,0
鲤鱼,水产,54,109,17.6,4.1,0.5,0,84,53.7,50,1.0,0
鲫鱼,水产,54,108,17.1,2.7,3.8,0,130,41.2,79,1.3,0
鲢鱼,水产,61,104,17.8,3.6,0,0,99,57.5,53,1.4,0
鳙鱼（胖头鱼）,水产,61,100,15.3,2.2,4.7,0,112,60.6,82,0.8,0
带鱼,水产,76,127,17.7,4.9,3.1,0,76,150.1,28,1.2,0
黄花鱼（大）,水产,63,99,17.7,2.5,3.0,0,86,103.0,53,0.7,0
黄花鱼（小）,水产,63,98,17.9,2.3,3.0,0,74,120.3,78,1.2,0
鳕鱼,水产,45,88,20.4,0.5,0.5,0,114,130.3,42,0.5,0
三文鱼（鲑鱼）,水产,72,139,17.2,7.8,0,0,68,63.3,13,0.3,0
金枪鱼,水产,100,189,29.0,3.0,0,0,50,40.0,12,1.6,0
鲈鱼,水产,58,105,18.6,3.4,0,0,86,144.1,138,2.0,0
黑鱼（乌鳢）,水产,57,85,18.5,1.2,0,0,91,48.8,152,0.7,0
鳗鱼,水产,68,181,18.6,10.8,2.3,0,177,95.8,42,1.5,0
鲶鱼,水产,65,146,15.4,8.0,3.1,0,163,49.6,42,2.1,0
泥鳅,水产,60,96,17.9,2.0,1.7,0,136,74.8,299,2.9,0
黄鳝,水产,67,89,18.0,1.4,1.2,0,126,70.2,42,2.5,0
对虾,水产,61,93,18.6,0.8,2.8,0,193,165.2,62,1.5,0
基围虾,水产,60,101,18.2,1.4,3.9,0,181,172.0,83,2.0,0
白虾,水产,57,81,17.3,0.4,2.0,0,103,90.7,403,2.1,0
小龙虾,水产,31,93,14.8,3.8,0,0,132,120.0,85,2.0,0
虾皮,水产,100,153,30.7,2.2,2.5,0,428,5057.7,991,6.7,0
虾米（海米）,水产,100,198,43.7,2.6,0,0,525,4891.9,555,11.0,0
蟹（河蟹）,水产,42,103,17.5,2.6,2.3,0,267,193.5,126,2.9,0
蟹（海蟹）,水产,55,95,13.8,2.6,4.7,0,125,260.0,208,1.6,0
梭子蟹,水产,49,95,15.9,3.1,0.9,0,142,481.4,280,2.5,0
扇贝（鲜）,水产,70,60,11.1,0.6,2.6,0,140,339.0,168,5.2,0
牡蛎（海蛎子）,水产,100,73,5.3,2.1,8.2,0,100,462.1,131,7.1,0
花蛤（蛤蜊）,水产,45,62,7.7,0.5,7.7,0,156,309.0,59,2.2,0
蛏子,水产,57,40,7.3,0.3,2.1,0,131,175.9,134,33.6,0
鱿鱼（鲜）,水产,98,84,17.4,1.3,0,0,268,110.0,43,0.5,0
鱿鱼（干）,水产,100,313,60.0,4.7,7.8,0,871,965.0,87,4.1,0
墨鱼（乌贼）,水产,69,82,15.2,0.9,3.6,0,226,165.0,15,1.0,0
章鱼,水产,86,135,18.9,5.2,6.0,0,175,120.0,21,1.5,0
海带（干）,水产,100,77,1.8,0.1,17.3,6.1,0,246.0,348,4.7,0
紫菜（干）,水产,100,250,26.7,1.1,44.1,21.6,0,710.5,264,54.9,2
发菜（干）,水产,100,189,20.2,0.3,36.8,21.9,0,103.3,875,54.0,0
花生油,油脂,100,899,0,99.9,0,0,0,3.5,12,2.9,0
大豆油,油脂,100,899,0,99.9,0,0,0,4.9,13,2.0,0
菜籽油,油脂,100,899,0,99.9,0,0,0,7.0,9,3.0,0
玉米油,油脂,100,899,0,99.9,0,0,0,1.4,1,1.4,0
橄榄油,油脂,100,899,0,99.9,0,0,0,1.0,1,0.4,0
葵花籽油,油脂,100,899,0,99.9,0,0,0,2.8,2,1.0,0
芝麻油（香油）,油脂,100,899,0,99.7,0.2,0,0,1.1,9,2.2,0
猪油（炼）,油脂,100,897,0,99.6,0,0,93,138.0,0,0,0
黄油,油脂,100,888,1.4,98.0,0,0,296,4.0,1,0.1,0
芝麻酱,油脂,100,630,19.2,52.7,16.8,5.9,0,38.0,1170,50.3,0
花生酱,油脂,100,600,25.0,48.0,20.0,3.0,0,600.0,60,2.0,0
蜂蜜,糖类,100,321,0.4,1.9,75.6,0,0,0.3,4,1.0,3
白糖（白砂糖）,糖类,100,400,0,0,99.9,0,0,0.4,20,0.2,0
红糖,糖类,100,389,0.8,0,96.6,0,0,18.3,157,2.2,0
冰糖,糖类,100,397,0,0,99.3,0,0,2.7,23,1.4,0
巧克力,糖类,100,586,4.3,40.1,53.4,1.5,0,111.8,32,1.6,0
醋,调味品,100,31,2.1,0.3,4.9,0,0,262.1,17,6.0,0
酱油,调味品,100,63,5.6,0.1,10.1,0.2,0,5757.0,66,8.6,0
老抽,调味品,100,51,4.5,0.1,8.0,0.1,0,5000.0,50,5.0,0
生抽,调味品,100,20,3.0,0.1,2.0,0,0,4000.0,20,2.0,0
蚝油,调味品,100,110,4.0,1.5,20.0,0,0,3000.0,50,3.0,0
豆瓣酱,调味品,100,178,7.4,6.9,21.7,2.3,0,6012.0,103,6.4,0
辣椒酱,调味品,100,31,2.1,0.6,5.7,2.5,0,2000.0,40,3.0,0
番茄酱,调味品,100,81,2.0,0.3,18.0,1.5,0,200.0,28,1.1,10
食盐,调味品,100,0,0,0,0,0,0,39316.0,22,1.0,0
味精,调味品,100,268,40.1,0.2,26.5,0,0,8160.0,100,1.5,0
鸡精,调味品,100,195,10.7,2.8,32.5,0,0,18000.0,50,1.0,0
淀粉（玉米）,调味品,100,346,1.2,0.1,85.0,0.1,0,6.3,18,4.0,0
淀粉（土豆）,调味品,100,342,0.9,0.1,85.0,0.1,0,2.7,10,0.8,0
料酒,调味品,100,18,0.3,0,3.0,0,0,20.0,5,0.1,0
黄酒,调味品,100,66,1.6,0,1.0,0,0,20.0,15,0.1,0
